site,window_start,Ion,Concentration
BQ2,1988-06-14,mg_mgl,2.2381818181818183
BQ2,1988-06-14,ca_mgl,3.561818181818182
BQ2,1988-08-16,no3_ugl,184.72727272727272
BQ2,1988-08-16,nh4_ugl,26.25
BQ2,1988-08-16,k_mgl,0.7761538461538462
BQ2,1988-08-16,mg_mgl,2.0591666666666666
BQ2,1988-08-16,ca_mgl,3.805
BQ2,1988-10-18,no3_ugl,224.125
BQ2,1988-10-18,nh4_ugl,61
BQ2,1988-10-18,k_mgl,0.8475
BQ2,1988-10-18,mg_mgl,2.38125
BQ2,1988-10-18,ca_mgl,4.18625
BQ2,1988-12-20,no3_ugl,219.11111111111111
BQ2,1988-12-20,nh4_ugl,NA
BQ2,1988-12-20,k_mgl,0.9077777777777778
BQ2,1988-12-20,mg_mgl,2.4833333333333334
BQ2,1988-12-20,ca_mgl,4.488888888888889
BQ2,1989-02-21,no3_ugl,224.9
BQ2,1989-02-21,nh4_ugl,NA
BQ2,1989-02-21,k_mgl,0.8377777777777777
BQ2,1989-02-21,mg_mgl,2.7688888888888887
BQ2,1989-02-21,ca_mgl,4.62
BQ2,1989-04-25,no3_ugl,174
BQ2,1989-04-25,nh4_ugl,NA
BQ2,1989-04-25,k_mgl,0.9366666666666666
BQ2,1989-04-25,mg_mgl,2.6755555555555555
BQ2,1989-04-25,ca_mgl,4.58
BQ2,1989-06-27,no3_ugl,176
BQ2,1989-06-27,nh4_ugl,NA
BQ2,1989-06-27,k_mgl,1.0044444444444445
BQ2,1989-06-27,mg_mgl,2.3566666666666665
BQ2,1989-06-27,ca_mgl,4.605555555555556
BQ2,1989-08-29,no3_ugl,137.42857142857142
BQ2,1989-08-29,nh4_ugl,NA
BQ2,1989-08-29,k_mgl,1.1718181818181819
BQ2,1989-08-29,mg_mgl,2.789
BQ2,1989-08-29,ca_mgl,5.341
BQ2,1989-10-31,no3_ugl,424.3
BQ2,1989-10-31,nh4_ugl,NA
BQ2,1989-10-31,k_mgl,1.339
BQ2,1989-10-31,mg_mgl,3.138
BQ2,1989-10-31,ca_mgl,6.071
BQ2,1990-01-02,no3_ugl,194.75
BQ2,1990-01-02,nh4_ugl,NA
BQ2,1990-01-02,k_mgl,1.3822222222222222
BQ2,1990-01-02,mg_mgl,3.12
BQ2,1990-01-02,ca_mgl,6.677777777777778
BQ2,1990-03-06,no3_ugl,460.9090909090909
BQ2,1990-03-06,nh4_ugl,NA
BQ2,1990-03-06,k_mgl,1.393076923076923
BQ2,1990-03-06,mg_mgl,2.46
BQ2,1990-03-06,ca_mgl,5.222307692307692
BQ2,1990-05-08,no3_ugl,301.5
BQ2,1990-05-08,nh4_ugl,NA
BQ2,1990-05-08,k_mgl,1.262
BQ2,1990-05-08,mg_mgl,3.079
BQ2,1990-05-08,ca_mgl,6.397
BQ2,1990-07-10,no3_ugl,177.44444444444446
BQ2,1990-07-10,nh4_ugl,NA
BQ2,1990-07-10,k_mgl,0.9955555555555555
BQ2,1990-07-10,mg_mgl,3.2844444444444445
BQ2,1990-07-10,ca_mgl,7.045555555555556
BQ2,1990-09-11,no3_ugl,101
BQ2,1990-09-11,nh4_ugl,NA
BQ2,1990-09-11,k_mgl,0.8822222222222222
BQ2,1990-09-11,mg_mgl,2.76
BQ2,1990-09-11,ca_mgl,6.1322222222222225
BQ2,1990-11-13,no3_ugl,211.45454545454547
BQ2,1990-11-13,nh4_ugl,NA
BQ2,1990-11-13,k_mgl,1.0463636363636364
BQ2,1990-11-13,mg_mgl,2.9263636363636363
BQ2,1990-11-13,ca_mgl,6.368181818181818
BQ2,1991-01-15,no3_ugl,124.71428571428571
BQ2,1991-01-15,nh4_ugl,NA
BQ2,1991-01-15,k_mgl,0.8288888888888889
BQ2,1991-01-15,mg_mgl,3.0255555555555556
BQ2,1991-01-15,ca_mgl,6.865555555555556
